"NAME","Jan 2014 - Dec 2014","Apr 2014 - Mar 2015","Jul 2014 - Jun 2015","Oct 2014 - Sep 2015","Jan 2015 - Dec 2015","Apr 2015 - Mar 2016","Jul 2015 - Jun 2016","Oct 2015 - Sep 2016","Jan 2016 - Dec 2016","Apr 2016 - Mar 2017","Jul 2016 - Jun 2017","Oct 2016 - Sep 2017","Jan 2017 - Dec 2017","Apr 2017 - Mar 2018","Jul 2017 - Jun 2018","Oct 2017 - Sep 2018","Jan 2018 - Dec 2018","Apr 2018 - Mar 2019","Jul 2018 - Jun 2019","Oct 2018 - Sep 2019","Jan 2019 - Dec 2019","Apr 2019 - Mar 2020","Jul 2019 - Jun 2020","Oct 2019 - Sep 2020"
"Hemingford Grey & Houghton",270667,265970,278814,288703,296130,300811,309382,315958,319468,340204,331070,342581,359206,346414,351564,350054,326369,352511,353946,352067,361206,341237,346866,352323
"Holywell-cum-Needingworth",272498,274024,278081,283523,285663,286838,294179,301443,319803,337699,332243,330743,328290,319186,317781,331022,320331,324277,332159,321737,330477,329039,318440,331535
"Huntingdon East",233474,232449,228549,235961,235621,238913,244444,242537,253975,262455,263644,275282,270161,273759,279791,282811,279473,282691,285596,278904,288022,290333,283663,286360
"Huntingdon North",158789,158345,157543,165763,168701,174045,181170,188485,195306,198503,196313,194221,189825,191607,194863,198975,202622,201544,202484,195176,195845,196340,192243,198270
"Kimbolton",371487,377673,362173,380690,365673,382490,390760,405604,428064,423550,447551,461319,429811,446901,436327,413499,465284,474872,445876,479208,472337,455272,474459,446222
"Ramsey",195091,206770,204927,214786,212339,208644,208711,209585,206684,208428,211319,220740,230735,235310,236367,234366,233593,239812,243937,242779,246942,243200,238191,231604
"St Ives East",177130,179227,183556,188613,194468,198621,209902,220959,225490,232795,234272,240460,246354,250014,244944,241855,242921,237434,244143,242248,239287,242749,236568,238542
"St Ives South",262453,261595,256945,257009,257916,254800,264035,262435,261755,279715,272549,283647,290407,288681,312510,323025,334564,334923,332140,324994,328114,343135,344950,347207
"St Ives West",252980,263378,270271,273957,257068,246755,252301,251377,259989,272658,269511,280882,285534,302371,301142,311518,304966,286564,280031,286537,292949,292759,301385,285477
"St Neots East",254252,254695,249687,246408,253351,259634,266795,282443,283114,288055,289078,279866,292844,303977,312527,312786,312529,305599,291496,296651,297590,297378,304122,303884
"St Neots Eatons",209606,210532,221023,236683,243774,246995,251019,246115,249141,260615,267789,275352,269873,271441,267310,265437,271918,269066,275839,275604,284379,290524,288754,295384
"St Neots Eynesbury",185978,187388,190952,196108,202607,206172,213215,221008,229221,242842,244939,246849,247383,243670,244795,244724,248202,249069,252429,247927,244892,238844,234634,242459
"St Neots Priory Park & Little Paxton",227237,223921,234667,248590,249243,269303,262494,257101,256680,253493,269712,279010,296688,311486,323297,326620,311450,300397,288570,289344,314038,320701,314379,315199
